,tag,m_count,m_freq,f_count,f_freq
70,look_SUBST,1180,0.0008476840983083673,947,0.0009585418018359062
71,couple_SUBST,1176,0.0008448105928903728,748,0.0007571164390425108
72,finish_VERB,1176,0.0008448105928903728,1026,0.001038504634301626
73,agree_VERB,1174,0.0008433738401813757,396,0.0004008263500813293
74,hope_VERB,1172,0.0008419370874723785,837,0.0008472011490355369
75,shall_VERB,1171,0.0008412187111178798,1156,0.0011700890421566077
76,round_PREP,1167,0.0008383452056998854,952,0.0009636027405995593
77,become_VERB,1161,0.0008340349475728936,396,0.0004008263500813293
78,top_SUBST,1155,0.000829724689445902,936,0.0009474077365558692
79,enough_ADV,1142,0.0008203857968374199,898,0.0009089446019521053
80,enough_ADV,1142,0.0008203857968374199,455,0.00046054542749243645
81,set_VERB,1136,0.0008160755387104282,490,0.0004959719988380085
82,fifteen_ADJ,1128,0.0008103285278744393,617,0.0006245198434347984
83,without_PREP,1124,0.0008074550224564448,629,0.000636666096467566
84,full_ADJ,1121,0.000805299893392949,605,0.0006123735904020309
85,sell_VERB,1118,0.0008031447643294531,689,0.0006973973616314037
86,price_SUBST,1105,0.0007938058717209711,475,0.000480789182547049
87,room_SUBST,1095,0.0007866221081759849,1152,0.0011660402911456852
88,stand_VERB,1093,0.0007851853554669878,801,0.0008107623899372342
89,wan_VERB,1076,0.0007729729574405112,933,0.0009443711732976774
90,g_SUBST,1075,0.0007722545810860126,349,0.0003532535257029897
91,walk_VERB,1068,0.0007672259466045224,1152,0.0011660402911456852
92,matter_SUBST,1062,0.0007629156884775306,451,0.0004564966764815139
93,matter_SUBST,1062,0.0007629156884775306,420,0.0004251188561468644
94,situation_SUBST,1057,0.0007593238067050375,343,0.0003471803991866059
95,exactly_ADV,1054,0.0007571686776415417,571,0.0005779592068091894
96,meeting_SUBST,1051,0.0007550135485780459,445,0.0004504235499651301
97,watch_VERB,1038,0.0007456746559695638,1089,0.0011022724627236555
98,shop_SUBST,1036,0.0007442379032605666,1091,0.0011042968382291168
99,difficult_ADJ,1035,0.000743519526906068,523,0.0005293741946781192
100,spend_VERB,1034,0.0007428011505515693,674,0.0006822145453404442
101,young_ADJ,1033,0.0007420827741970707,820,0.0008299939572391162
102,cost_SUBST,1031,0.0007406460214880736,379,0.0003836191582849086
103,cost_VERB,653,0.0004690997594875965,379,0.0003836191582849086
104,hold_VERB,1023,0.0007348990106520846,687,0.0006953729861259425
105,bloody_ADJ,1018,0.0007313071288795915,469,0.0004747160560306652
106,meet_VERB,1014,0.000728433623461597,650,0.0006579220392749092
