hw_pos,mcount,fcount,sim_score
club_SUBST,634,275,0.7768782
support_SUBST,535,180,0.7774537
west_SUBST,640,195,0.77915436
andrew_SUBST,169,199,0.7794489
particular_ADJ,1436,303,0.77955574
c_SUBST,2612,754,0.77965283
similar_ADJ,395,142,0.7797615
sleep_VERB,249,434,0.7803362
l_SUBST,560,154,0.7803675
refer_VERB,545,115,0.7805826
third_ADJ,759,313,0.78081995
activity_SUBST,410,96,0.7809441
order_SUBST,1084,316,0.781361
bloody_ADV,351,469,0.7814056
love_VERB,591,872,0.7816337
section_SUBST,593,174,0.7817211
mr_SUBST,2987,971,0.78174675
u_SUBST,812,295,0.78199023
system_SUBST,1213,385,0.7821263
tape_VERB,155,261,0.78251266
christopher_SUBST,108,208,0.78254896
husband_SUBST,236,417,0.7826251
price_SUBST,1105,475,0.782921
copy_SUBST,417,120,0.78328437
accept_VERB,815,200,0.78332675
investment_SUBST,408,75,0.7835503
opportunity_SUBST,563,154,0.7837364
upstairs_ADV,206,363,0.78375924
kid_SUBST,616,627,0.7839988
clothes_SUBST,180,311,0.78426474
various_ADJ,623,129,0.7844109
therefore_ADV,865,187,0.78502303
major_ADJ,569,194,0.7852343
resource_SUBST,376,75,0.7854808
service_SUBST,1747,595,0.7861446
by_PREP,9417,3632,0.7862334
term_SUBST,1979,431,0.78655934
sector_SUBST,423,93,0.78657824
close_ADJ,487,180,0.7872239
stage_SUBST,839,221,0.7873472
tape_SUBST,714,891,0.7873695
control_SUBST,492,148,0.7875479
question_SUBST,2659,781,0.787595
cheap_ADJ,503,526,0.78796464
staff_SUBST,744,303,0.78833675
f_SUBST,785,260,0.78834367
e_SUBST,1524,606,0.7888014
action_SUBST,461,148,0.7896987
social_ADJ,609,194,0.7901085
european_ADJ,369,91,0.7903156
use_SUBST,589,211,0.79041445
mum_SUBST,1768,1982,0.7904699
involved_ADJ,444,131,0.79077184
as_PREP,5686,1916,0.7909078
chip_SUBST,247,251,0.7914044
train_SUBST,291,303,0.79201335
second_SUBST,578,212,0.7924898
air_SUBST,530,226,0.793432
several_ADJ,371,141,0.79386574
watch_VERB,1038,1089,0.79391605
d_SUBST,1175,294,0.79400605
range_SUBST,372,116,0.79434603
group_SUBST,1826,591,0.7943571
ground_SUBST,592,204,0.7944731
cream_SUBST,141,225,0.7945161
hate_VERB,273,380,0.7945857
bloody_ADJ,1018,1253,0.79469055
support_VERB,678,219,0.7949391
christmas_SUBST,534,1146,0.7952825
yesterday_ADV,674,868,0.7953279
dry_ADJ,165,215,0.7955498
bedroom_SUBST,258,452,0.7956429
kitchen_SUBST,215,466,0.79610723
explain_VERB,626,234,0.7963239
towards_PREP,706,237,0.79715157
policy_SUBST,1366,349,0.7981586
leg_SUBST,351,479,0.7986835
boy_SUBST,928,1108,0.7992048
coffee_SUBST,301,503,0.79932666
east_SUBST,511,162,0.7995964
warm_ADJ,213,317,0.8008563
listen_VERB,759,973,0.801241
fairly_ADV,702,227,0.80145985
government_SUBST,1581,387,0.8019359
employment_SUBST,397,110,0.8019413
most_ADV,1129,399,0.8024094
fact_SUBST,2906,942,0.8024758
hurt_VERB,226,303,0.802569
development_SUBST,895,181,0.8028726
land_SUBST,915,198,0.80381626
chocolate_SUBST,131,336,0.8038442
white_ADJ,534,596,0.80390704
relate_VERB,416,92,0.80403316
wear_VERB,467,814,0.8041492
certain_ADJ,1024,320,0.8041678
university_SUBST,582,186,0.80421317
charge_SUBST,474,195,0.80422264
cake_SUBST,189,386,0.8043927
war_SUBST,951,339,0.8044719
collect_VERB,271,290,0.8046336
within_PREP,1502,320,0.80503863
hm_INTERJ,143,207,0.80512714
village_SUBST,417,177,0.8062431
meal_SUBST,211,288,0.80757135
beautiful_ADJ,254,340,0.80775625
hospital_SUBST,451,510,0.8078011
honestly_ADV,151,208,0.80836135
instance_SUBST,370,125,0.80867916
offer_VERB,515,218,0.8089053
m_SUBST,1333,475,0.80916935
view_SUBST,1338,295,0.8094436
decision_SUBST,697,224,0.8097282
far_ADV,1377,524,0.8104529
shop_SUBST,1036,1091,0.81065094
stupid_ADJ,283,419,0.81112796
example_SUBST,1388,262,0.81174517
add_VERB,1082,241,0.81233585
consider_VERB,626,218,0.81239957
increase_VERB,548,128,0.8128701
department_SUBST,581,172,0.8132666
public_ADJ,556,198,0.8132867
okay_ADV,6337,1957,0.8134363
also_ADV,2866,1148,0.8136292
dog_SUBST,670,810,0.8136759
field_SUBST,499,187,0.81401646
likely_ADJ,536,198,0.8143269
situation_SUBST,1057,343,0.81504756
part_SUBST,2378,877,0.8156672
wonder_VERB,746,765,0.8180231
police_SUBST,969,400,0.8181836
enjoy_VERB,428,510,0.8183367
o_SUBST,1516,518,0.8187705
r_SUBST,882,378,0.81881976
important_ADJ,1649,437,0.819019
tend_VERB,698,181,0.8191161
continue_VERB,518,159,0.819269
nose_SUBST,133,201,0.81933534
motion_SUBST,835,131,0.81953275
bread_SUBST,246,269,0.82000095
flower_SUBST,138,276,0.82032967
tax_SUBST,673,247,0.82047516
bed_SUBST,645,1057,0.8205495
pretty_ADJ,84,232,0.82080686
member_SUBST,1546,408,0.8210164
level_SUBST,1242,365,0.8218374
horrible_ADJ,167,318,0.8219901
nineteen_ADJ,1967,600,0.82214
lane_SUBST,383,133,0.822201
sixty_ADJ,1511,583,0.8241381
conversation_SUBST,310,346,0.8247941
britain_SUBST,422,182,0.825165
telly_SUBST,183,231,0.82524323
mind_VERB,909,1333,0.82572794
reduce_VERB,415,135,0.8260028
themselves_PRON,660,281,0.82661015
ring_VERB,673,863,0.82706237
no_INTERJ,18573,19276,0.8273624
further/far_ADV,500,201,0.8277256
future_SUBST,486,170,0.8279316
percent_SUBST,1569,310,0.82825696
like_CONJ,241,271,0.8289475
high_ADJ,1525,648,0.8299945
till_CONJ,253,321,0.83036333
a_SUBST,2593,762,0.8306237
which_PRON,12830,3950,0.83118415
daughter_SUBST,219,287,0.83142173
region_SUBST,696,137,0.83217883
tomorrow_ADV,965,1187,0.8324754
terrible_ADJ,323,370,0.8327477
point_SUBST,4425,1309,0.83284026
milk_SUBST,243,319,0.8329315
nottingham_SUBST,387,131,0.8331253
committee_SUBST,997,265,0.8331341
basis_SUBST,558,111,0.8333455
most_ADJ,1492,626,0.8334043
base_VERB,499,111,0.8337492
sixteen_ADJ,650,263,0.8343192
thirteen_ADJ,554,206,0.8344254
room_SUBST,1095,1152,0.83469653
simple_ADJ,564,164,0.8348653
bye_INTERJ,579,663,0.8353828
become_VERB,1161,396,0.8365294
large_ADJ,978,328,0.83660764
eat_VERB,874,1454,0.8367468
period_SUBST,743,157,0.8374599
drink_SUBST,327,408,0.83853036
cost_SUBST,1031,231,0.8386265
biscuit_SUBST,118,301,0.83893013
colour_SUBST,497,621,0.8390948
mouth_SUBST,189,236,0.84010357
clean_VERB,245,319,0.84014577
reason_SUBST,1452,444,0.8404685
glass_SUBST,333,429,0.84073913
provide_VERB,946,304,0.8419849
onto_PREP,574,235,0.84222025
low_ADJ,836,330,0.8423855
ready_ADJ,557,589,0.8424154
mile_SUBST,754,280,0.8424282
problem_SUBST,3217,1197,0.8459406
thousand_ADJ,2842,1068,0.84594184
country_SUBST,1502,511,0.8461824
lunch_SUBST,242,370,0.8463908
course_SUBST,4299,1677,0.84686184
item_SUBST,581,154,0.84749335
awful_ADJ,360,443,0.84839714
eighty_ADJ,1208,518,0.84865814
